long	lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	srtm	ndvi	ndvistd	qscat	tree
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-74.739173	43.683566	4.47499990463257	11.8999996185303	29.6758117675781	1018.81500244141	23.7999992370605	-16.2999992370605	40.0999984741211	15.6166667938232	-2.96666669845581	16.4833335876465	-8.55000019073486	1285	123	79	12.1497974395752	356	270	342	288	605	9105	2888	-968	75
-74.734783	43.683226	4.33750009536743	11.8583335876465	29.6458339691162	1017.18670654297	23.6000003814697	-16.3999996185303	40	15.4499998092651	-3.08333325386047	16.3166656494141	-8.68333339691162	1302	125	81	11.7501802444458	359	276	344	294	641	8972	2407	-968	72
-74.759585	43.703083	4.32916641235352	11.8083333969116	29.4472160339355	1023.28228759766	23.6000003814697	-16.5	40.0999984741211	15.5166664123535	-7.73333358764648	16.3500003814697	-8.76666641235352	1305	125	81	11.6564292907715	360	278	345	293	650	9008	2714	-974	75
-74.70853	43.673426	4.59583330154419	11.9083337783813	29.6965923309326	1017.47338867188	23.8999996185303	-16.2000007629395	40.0999984741211	6.5	-7.36666679382324	16.5833339691162	-8.41666698455811	1288	124	80	11.4776020050049	355	275	339	288	572	8759	2790	-974	75
-74.710294	43.66778	4.59583330154419	11.9083337783813	29.6965923309326	1017.47338867188	23.8999996185303	-16.2000007629395	40.0999984741211	6.5	-7.36666679382324	16.5833339691162	-8.41666698455811	1288	124	80	11.4776020050049	355	275	339	288	572	8759	2790	-974	75
-74.711413	43.664665	4.625	11.9333333969116	29.7589359283447	1018.00274658203	24	-16.1000003814697	40.0999984741211	6.53333330154419	-7.33333349227905	16.6333332061768	-8.38333320617676	1288	124	80	11.4978303909302	354	275	339	289	567	8646	3002	-974	70
-74.711066	43.665875	4.625	11.9333333969116	29.7589359283447	1018.00274658203	24	-16.1000003814697	40.0999984741211	6.53333330154419	-7.33333349227905	16.6333332061768	-8.38333320617676	1288	124	80	11.4978303909302	354	275	339	289	567	8646	3002	-974	70
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
-83.38	35.06	12.9416666030884	13.9666662216187	42.3232345581055	730.354309082031	29.2999992370605	-3.70000004768372	33	5.15000009536743	18.2333335876465	21.783332824707	3.76666665077209	1709	176	117	10.437707901001	474	386	416	450	656	8014	1187	-832	66
